ID,Assemblage,Date_of_study,Collection_location,Box_description,Label1,Label2,Label3,Flint_colour,Patination,Fragment,Reversed_orientation,Length,Limbe_length,Break_of_tip,Curve_length,Stem_length,Limbe_width,Stem_width,Thickness,Bulb,Butt,Cran_lateralisation,Cran_retouch,Distal_retouch,Distal_retouch_length,Other_retouch,Notes,Photo
Gme_sp_014,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,И-20,3548,Light brown,Light,Distal,n,42.46,29.04,,6.83,,9.31,6.02,3.02,,,Right,Abrupt backing,"Semi-abrupt, marginal",15,,,
Gme_sp_015,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Л-24,9805,Dark brown,Medium,Distal,n,24.05,17.07,,2.89,,4.77,4.47,2.31,,,Left,Abrupt backing,"Semi-abrupt, marginal",6,,,
Gme_sp_016,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,М-24,11592,,Heavy,Distal,n,18.36,12.11,,2.69,,6.75,4.89,1.76,,,Left,Abrupt backing,"Semi-abrupt, marginal",12,,,
Gme_sp_017,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Л-22,9290,Dark brown,Light,Distal,n,32.09,24.69,,4.29,,7.81,5.05,2.46,,,Left,Abrupt backing,"Semi-abrupt, marginal",13,,,
Gme_sp_018,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,М-21,10836,Light brown,Light,Distal,n,37.6,32.26,,2.09,,13.69,7.73,3.91,,,Right,Abrupt backing,"Semi-abrupt, marginal",10,,Strongly sinuous in profile,
Gme_sp_019,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Л-21,8635,Dark brown,Light,Distal,n,30.31,23.65,,3.07,,11.1,5.92,3.05,,,Right,Abrupt backing,"Semi-abrupt, marginal",10,,,
Gme_sp_020,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,И-19,3543,Light brown,Light,Distal,n,21,16.6,,2.67,,5.08,3.96,2.19,,,Left,Abrupt backing,"Semi-abrupt, marginal",7,,,
Gme_sp_021,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Л-21,8636,Light brown,Light,Distal,n,32.02,26.79,,2.16,,11.29,8.38,2.98,,,Right,Abrupt backing,"Semi-abrupt, marginal",18,,,
Gme_sp_022,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Ж-21,440,Light brown,Light,Distal,n,22.92,17.76,,2.68,,8.92,7.31,1.61,,,Right,Abrupt backing,Semi-abrupt,15,,,
Gme_sp_023,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,И-23,4409,Dark brown,Medium,Distal,n,35.65,28.21,,2.21,,9.14,6.34,1.82,,,Right,Abrupt backing,"Semi-abrupt, marginal",31,,,
Gme_sp_024,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,З-19,1557,Dark brown,Light,Distal,n,27.02,,y,2.89,,10.82,8.36,2.93,,,Left,Abrupt backing,"Semi-abrupt, marginal",full length of limbe,,,
Gme_sp_025,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,И-21,3851,Dark brown,Light,Distal,n,21.86,15.4,,3.89,,8.02,6.87,2.96,,,Left,Abrupt backing,Abrupt,full length of limbe,Distal retouch forming slightly irregular point,,
Gme_sp_026,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Ж-22,835,Dark brown,Light,Distal,n,35.45,19.38,,2.39,,7.16,5.3,3.49,,,Right,Abrupt backing,"Inverse, marginal",7,,,
Gme_sp_027,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,М-22 [both],11283,Dark brown,Light,Distal,n,50.43,31.09,,,,11.9,8.02,3.97,,,Left,Abrupt backing,"Semi-abrupt, marginal",17,,Break 3mm distal of cran,
Gme_sp_028,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,К-19,5736,Light brown,Light,Proximal,n,32.28,,,2.96,22.78,8.27,6.43,2.78,Present,Linear,Left,Abrupt backing,"Semi-abrupt, marginal",,,Break 8mm distal of cran,
Gme_sp_029,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,Ж-20,443,Light brown,Light,Proximal,n,27.49,,,3.24,22.03,11.1,7.27,3.32,Removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",,"Semi-abrupt direct retouch removing platform, creating sub-rounded end",Break 3mm distal of cran,
Gme_sp_030,Kostenki 21-III,2017-02-08,IIMK,"Flower cover box ""наконечники юж компл.""",,К-19,2465,Dark brown,Light,Medial,n,22.69,,,3.29,,9.89,5.78,3.22,,,Right,Abrupt backing,"Semi-abrupt, marginal",,,,
Gme_sp_031,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",К-21,Л-20,8092,Light brown,Light,Entire,n,56.2,24.92,,7.22,23.61,10.62,5.96,4.76,Partly removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",25,,,b
Gme_sp_032,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-22,6956,Light brown,Light,Entire,n,35.96,20.6,,3.11,13.59,11.73,6.69,2.87,Removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",15,,Retouch on left edge of stem incl notch opposite shoulder of cran,
Gme_sp_033,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-19,5734,Dark brown,Light,Entire,n,53.57,21.91,,2.01,25.16,9.17,7.97,4.2,Removed,Removed,Left,Abrupt backing,"Light, marginal",6,,Irregular retouch. Possible unfinished backed bladelet that was briefly used - retouch on point is extremely light.,a
Gme_sp_034,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,М-21,10837,Light brown,Light,Entire,n,34.66,,y,2.89,19.75,7.77,5.38,2.69,Broken/removed,Broken/removed,Right,Abrupt backing,"Semi-abrupt, marginal",7,,Breaks of tips of point and base,
Gme_sp_035,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-23,6959,Dark brown,Light,Entire,n,27.16,13.37,,3.5,14.21,7.29,5.17,2.23,,Plain,Right,Abrupt backing,"Semi-abrupt, marginal",8,,Some usewear on limbe,i
Gme_sp_036,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-22,6951,Dark brown,Light,Entire,n,34.32,18.6,,5.8,12.22,8.86,6.51,1.89,,"Plain, abraded",Right,Abrupt backing,"Semi-abrupt, marginal",6,,Some usewear on limbe,f
Gme_sp_037,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-18,5724,Light brown,Light,Entire,n,34.08,14.2,,5.93,15.62,7.93,6.13,2.94,Partly removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",11,,Some usewear on limbe,h
Gme_sp_038,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,И-22 [both],"4021 а, б",Light brown,Medium,Refitted entire,n,55.93,31.72,,6.04,22.45,16.76,8.95,3.17,,Linear,Left,Abrupt backing,"Semi-abrupt, marginal",9,,Break 2mm prox of shoulder of cran,c
Gme_sp_039,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-18,5730,Dark brown,Light,Refitted entire,n,73.24,29.42,,5.18,37.98,12.08,9.99,3.2,,Broken/removed,Right,Abrupt backing,"Semi-abrupt, marginal",17,,Break 28mm from prox end; Marginal semi-abrupt retouch along left edge of stem too,e
Gme_sp_040,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,К-15 [d]/З-19 [p],13785 [d]/1561  [p],Dark brown,Medium,Refitted entire,n,78.03,41.19,,4.67,32.17,13.6,7.68,3.59,,Linear,Right,Abrupt backing,Semi-abrupt,full length of limbe,,Break at bottom of shoulder of cran,
Gme_sp_041,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,М-21,10834,Light brown,Medium,Entire,n,45.16,22.74,,3.42,22.98,7.74,6.01,3.31,Mostly removed,Removed,Left,Abrupt backing,"Semi-abrupt, marginal",24,,,j
Gme_sp_042,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,Ж-21 [both],904[d]/703[p],Dark brown,Light,Refitted entire,n,55.81,28.74,,2.55,26.83,10.29,6.59,3.55,Broken,Broken,Right,Abrupt backing,"Semi-abrupt, marginal",23,,Break at bottom of shoulder of cran,d
Gme_sp_043,Kostenki 21-III,2017-02-09,IIMK,"Flower cover box ""наконечники юж компл.""",,Н-26,12323,Light brown,Medium,Entire,n,39.35,,y,3.36,15.08,9.7,5.62,2.79,,Indeterminate,Both,Abrupt backing,"Semi-abrupt, marginal",5,,,g
Gme_sp_044,Kostenki 21-III,2017-02-09,IIMK,Flower cover box [1957-64 excs],К-21 1957,А-53,38,Light brown,Medium,Entire,n,36.72,18.95,,4.48,15.86,7.77,4.76,3.31,Mostly removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",12,,Retouch does not extend to very tip,k
Gme_sp_045,Kostenki 21-III,2017-02-09,IIMK,Flower cover box [1957-64 excs],К21-58,Б-57,202,Light brown,Light,Entire,n,53.97,,,6.95,14.49,17.42,12.75,4.71,Removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",10,,Very atypical in dimensions. Usewear along edges. Backing perhaps unfinished?,
Gme_sp_046,Kostenki 21-III,2017-02-09,IIMK,Flower cover box [1957-64 excs],К21,Б-52 ,725 (2),Light brown,Light,Distal,n,28.41,23.91,,4.18,,6.87,4.19,2.27,,,Right,Abrupt backing,"Semi-abrupt, marginal",11,,Usewear along limbe,
Gme_sp_047,Kostenki 21-III,2017-02-09,IIMK,Flower cover box [1957-64 excs],К21,Е-53,7441,Dark brown,Light,Distal,n,18.36,12.31,,2.89,,3.25,2.91,1.49,,,Left,Abrupt backing,"Semi-abrupt, marginal",full length of limbe,,Tiny. Retouch all the way around extant edges,
Gag_sp_001,Gagarino,2017-02-14,SHM,,"Г-68, ж",Ш-2 30,105873/208,Light brown,Medium,Distal,n,23.58,17.04,,4.56,,7.66,5.2,3.56,,,Right,Abrupt backing,Semi-abrupt,full length of limbe,Ventral flat retouch of both edges of tip,Possible damage on ventral surface on limbe from top of shoulder. Break near proximal end of shoulder of cran.,
Gag_sp_002,Gagarino,2017-02-14,SHM,,"Г-68, ж",???,105873/244,Light brown,Medium,Entire,n,29.29,,y,4.71,16.03,7.97,4.94,3.91,Removed,Removed,Left,Abrupt backing,"Semi-abrupt, marginal",full length of limbe,Ventral retouch of proximal end of right edge,"Break of tip, and some inverse slightly rough semi-abrupt retouch/usewear at tip.",
Gag_sp_003,Gagarino,2017-02-14,SHM,,"Г-65, з. я.",Н. 375,105873/157,,Heavy,Distal,n,35.77,28.8,,3.54,,11.48,10.15,3.63,,,Left,Abrupt backing,"Semi-abrupt, marginal",21,Ventral semi-abrupt retouch of tip on left edge (unretouched dorsally); some damage to rest of this edge,Tip is not quite acute; break 6 mm from bottom of shoulder.,
Gag_sp_004,Gagarino,2017-02-14,SHM,,"Г-64, III р.",Н. 671,105873/500 [I think],,Heavy,Entire,n,34.38,,y,3.37,16.17,10.72,8.46,2.65,Removed,Removed,Right,Abrupt backing,"Semi-abrupt, marginal",full length of limbe,Rectangular truncation of base using inverse abrupt retouch,"Tip has interesting break, hinged with tongue, also burination on edge.",
Gag_sp_005,Gagarino,2017-02-14,SHM,,Г-65 [I think],???,105873/241,Black opaque,Light,Proximal,n,39.2,,,4.35,22.28,11.41,8.85,3.65,Mostly removed,Removed,Right,Abrupt to semi-abrupt backing,Abrupt to semi-abrupt,full length of limbe,Subrectangular truncation of base using direct abrupt retouch,Retouch of stem and shoulder continues onto limbe. Break is 11 mm distal of top of shoulder,
Gag_sp_006,Gagarino,2017-02-14,SHM,,"Г-66, р. с.",в? ???,105873/129 [I think],,Heavy,Entire,n,36.17,20.57,,6.79,10.62,9.53,6.95,3.8,Removed,Removed,Left,Abrupt backing,"Semi-abrupt, marginal",full length of limbe,Rectangular truncation of base by inverse semi-abrupt removal (or possible break),Usewear along limbe and stem.,
Gag_sp_007,Gagarino,2017-02-14,SHM,,"Г-??, ж",ш-? 31,247,,Heavy,Entire,n,24.5,7.76,,3.69,13.07,5.07,4.98,3.3,Removed,,Right,Abrupt backing,Abrupt to semi-abrupt,full length of limbe,Ventral flat retouch of tip,Retouch of stem and shoulder continues onto limbe. Shoulder is not well-defined.,
Gag_sp_008,Gagarino,2017-02-14,SHM,,Г-62 я[?] II,,838,,Heavy,Distal,n,15.46,9.84,,3.53,,4.73,3.54,2.14,,,Right,Abrupt backing,"Semi-abrupt, marginal",8,Ventral flat retouch of tip,,
Gag_sp_009,Gagarino,2017-02-14,SHM,,Г-67 ст. р.,ш[?]. гр. 369,105873/209,,Heavy,Entire,n,27.67,19.87,,3.43,,13.7,,3.72,Removed,Removed,Left,Semi-abrupt backing,Semi-abrupt,full length of limbe,Concave truncation of base using semi-abrupt direct retouch,Lateral break: original shape of stem unclear. Piece may be excluded due to lack of elongation. ,
Gag_sp_010,Gagarino,2017-02-17,MAE,3555 401-450 Раскопки 1927г.,Г-24,,,Red-brown,Light,Distal,n,35.29,23.78,,4.52,,9.68,7.46,2.84,,,Right,Abrupt backing,Semi-abrupt,full length of limbe,,Damage on unbacked edge of limbe,
Gag_sp_011,Gagarino,2017-02-17,MAE,3555 401-450 Раскопки 1927г.,Г-27,,3555-404/2,Red/brown,Medium,Proximal,n,30.97,,,4.52,20.31,7.3,5.72,3.65,Removed,Removed,Right,Semi-abrupt backing,Semi-abrupt,full length of limbe,Ventral proximal acute/semi-abrupt retouch,,
Gag_sp_012,Gagarino,2017-03-01,MAE,3555 401-450 Раскопки 1927г.,"Г-24, в",,3555-409,,Heavy,Distal,n,29.56,15.29,,6.14,,7.74,4.25,2.68,,,Right,Semi-abrupt backing,Abrupt to semi-abrupt,full length of limbe,Ventral acute retouch of tip,"Point is sharp, offset from edge of piece",
Gag_sp_013,Gagarino,2017-03-01,MAE,3555 (taller box) - plastic bag of bladelets,Г-24,,3555-410,Grey/white striped,,Distal,y,26.04,15.52,,5.13,,6.48,5.23,3.74,,,Right,Semi-abrupt backing,Semi-abrupt,full length of limbe,Bifacial flat retouch of tip,Borderline between point with gibbosity and shouldered point,
Gag_sp_014,Gagarino,2017-03-01,MAE,3555 (taller box) - plastic bag of bladelets,Г-8,,3555-350,,Heavy,Entire,n,31.95,14.93,,4.01,13.01,6.83,5.45,2.27,Removed,Removed,Right,Semi-abrupt backing,Semi-abrupt,full length of limbe,"Ventral flat retouch, dorsal acute retouch of tip",Borderline between point with gibbosity and shouldered point,
Gag_sp_015,Gagarino,2017-03-01,MAE,3555 (taller box),Г-24 я,???,,Black opaque,,Entire,n,27.14,12.89,,5.07,9.18,7.04,4.71,2.54,Present,Punctiform,Left,Abrupt backing,Semi-abrupt,10,Marginal ventral retouch of tip,Borderline between point with gibbosity and shouldered point,
